Column1,Column2
游戏名称,游戏时间
,
Watch_Dogs 2,17.3 hours
,
Grand Theft Auto V,"1,692.3 hours"
,
Deep Rock Galactic,869 hours
,
ARK: Survival Evolved,845.1 hours
,
Wallpaper Engine,839.8 hours
,
Battlefield 1 ?,386.7 hours
,
Call of Duty?,362.9 hours
,
小黑盒加速器,320 hours
,
Counter-Strike 2,279.5 hours
,
Russian Fishing 4,278.9 hours
,
Controller Companion,235.4 hours
,
Battlefield? V,226.7 hours
,
OBS Studio,215.4 hours
,
Battlefield? 2042,212.7 hours
,
Apex Legends,138.8 hours
,
Dying Light,104.6 hours
,
The Witcher 3: Wild Hunt,71.6 hours
,
Mount & Blade II: Bannerlord,44.1 hours
,
Warhammer: Vermintide 2,36.5 hours
,
Ficket,31.1 hours
,
Forza Horizon 5,32.1 hours
,
"Planes, Bullets and Vodka",30.6 hours
,
Cyberhunt,29.2 hours
,
Hentai Shooter 3D,29.1 hours
,
The Last Hope,23.1 hours
,
The Life Of Greather,23.1 hours
,
The Shadowland,23.1 hours
,
The Prism,22.9 hours
,
Through the Mirror,22.8 hours
,
The Seeker,22.8 hours
,
Three Heroes,22.8 hours
,
The Land of Dasthir,22.7 hours
,
Tomato Jones 2,22.7 hours
,
Tomato Jones,22.6 hours
,
Timberman,22.6 hours
,
Town of Night,22.3 hours
,
Tomb Joe,22.3 hours
,
Trip to Vinelands,21.7 hours
,
Turbo Pug,21.1 hours
,
Turbo Pug 3D,19.9 hours
,
Sekiro?: Shadows Die Twice,18.2 hours
,
Turbo Pug DX,17.9 hours
,
Deep Eclipse,17.4 hours
,
DOKA 2 KISHKI EDITION,17.3 hours
,
Grimoire Chronicles,17.3 hours
,
Finding Hope,17.3 hours
,
Fallen,17.3 hours
,
Fort Defense,17.2 hours
,
Freedom Cry,17.2 hours
,
FreshWomen - Season 1,17.4 hours
,
Hearts of Chaos,17.2 hours
,
Endorlight,17.1 hours
,
House of Detention,17 hours
,
Seen,16.7 hours
,
Jade's Journey 2,16.7 hours
,
U.F.O - Unfortunately Fortunate Organisms,16.6 hours
,
Gravity Field,16.6 hours
,
State of Decay 2,16.2 hours
,
Hentai Bad Girls,15.9 hours
,
Ia，Ia，Cofflhu Fhtagnyaa,15.6 hours
,
The Inevitability,15.5 hours
,
Unforgiving Trials: The Darkest Crusade,15.3 hours
,
Ghostrunner,15 hours
,
Detroit: Become Human,14.9 hours
,
Unforgiving Trials: The Space Crusade,14.2 hours
,
Leap Up no jutsu,14.1 hours
,
Void Invaders,14.1 hours
,
Hero,13.2 hours
,
Warriors of Vilvatikta,13.2 hours
,
Weird Hero,13.2 hours
,
Utawarerumono: Mask of Deception,13 hours
,
Shining Plume,12.9 hours
,
Planet Zoo,12.7 hours
,
Warhammer: End Times - Vermintide,12.6 hours
,
Resident Evil 3,12.6 hours
,
Hades,12.5 hours
,
BuildMoreCubes,12.2 hours
,
Linked,12.2 hours
,
